agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
HRA/DEPT OF SOCIAL SERVICES,UNIT SUPERVISOR,45040,70704,2025-02-28T00:00:00.000000,2025-03-30T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
HRA/DEPT OF SOCIAL SERVICES,UNIT CLERK,42288,48631,2025-07-07T00:00:00.000000,2025-08-06T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF CITYWIDE ADMIN SVCS,Claims Processor,26.6,26.6,2025-07-24T00:00:00.000000,2025-08-23T00:00:00.000000,30,492.32,per Day,3684.86,57.73,85.92,3828.51,90.0
DEPT OF ENVIRONMENT PROTECTION,STANDARDS LEAD,95070,124935,2025-01-15T00:00:00.000000,2025-02-14T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,SENIOR QA ANALYST,75000,160000,2024-04-03T00:00:00.000000,2024-05-03T00:00:00.000000,30,78501.00,per Annum,21382.97,0.00,198.22,21581.190000000002,92.3076923076923
DEPARTMENT OF TRANSPORTATION,"Project Coordinator- Safety Project Evaluation, RIS",75777,111552,2025-06-11T00:00:00.000000,2025-07-11T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Poison Information Specialist, Bureau of Environmental Disease and Injury Prevention",95588,95588,2025-01-24T00:00:00.000000,2026-01-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Educator & Trainer, Bureau of Tuberculosis Control",84981,84981,2025-04-22T00:00:00.000000,2026-04-22T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Community Coordinator,62868,97593,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF PARKS & RECREATION,Gardener I,50448,58015,2025-08-01T00:00:00.000000,2025-08-15T00:00:00.000000,14,65.29,per Hour,109701.07,1913.26,13055.24,124669.57,89.65517241379311
DEPT OF HEALTH/MENTAL HYGIENE,"Project Manager, Bureau of IT Infrastructure and Support Services",75000,115000,2024-11-19T00:00:00.000000,2025-11-19T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIIO MANAGER,81083,216270,2024-09-23T00:00:00.000000,2024-10-23T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation",51460,51460,2024-08-21T00:00:00.000000,2025-08-21T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Lead Home Visitor, Bureau of Maternal Infant and Reproductive Health",53074,61035,2024-10-29T00:00:00.000000,2025-10-29T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"IT Infrastructure and Virtualization Specialist, Bureau of IT Infrastructure and Support Services",75000,115000,2024-11-21T00:00:00.000000,2025-11-21T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,PORTFOLIO MANAGER,88437,228190,2024-05-22T00:00:00.000000,2024-06-21T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Exterminator, Bureau of Veterinary and Pest Control Services",48154,48154,2025-07-16T00:00:00.000000,2026-05-12T00:00:00.000000,300,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,CASH ASSISTANCE CUSTOMER RESOLUTIONS UNIT DIRECTOR,82194,94523,2025-01-27T00:00:00.000000,2025-02-26T00:00:00.000000,30,114173.00,per Annum,113860.24,0.00,2187.20,116047.44,94.73684210526315
DEPT OF ENVIRONMENT PROTECTION,Procurement Analyst,55699,64054,2024-10-28T00:00:00.000000,2024-11-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
OFFICE OF THE MAYOR,Chief of Staff,104473,104473,2025-07-11T00:00:00.000000,2025-08-10T00:00:00.000000,30,258750.00,per Annum,257361.22,0.00,0.00,257361.22,100.0
HUMAN RIGHTS COMMISSION,BRONX COMMUNITY  SERVICE CENTER DIRECTOR,76059,87468,2024-03-29T00:00:00.000000,2024-04-28T00:00:00.000000,30,107625.00,per Annum,106483.57,0.00,250.00,106733.57,88.88888888888889
ADMIN FOR CHILDREN'S SVCS,Procurement Specialist,60889,94521,2025-07-16T00:00:00.000000,2025-08-15T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
BRONX DISTRICT ATTORNEY,Crime Victim Advocate: Homicide Specialist,70022,70022,2024-11-08T00:00:00.000000,2025-11-08T00:00:00.000000,365,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
HRA/DEPT OF SOCIAL SERVICES,SENIOR CASE REVIEWER,66062,75971,2025-05-08T00:00:00.000000,2025-06-07T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,ASSOC. CHEMIST,45193,77500,2023-05-04T00:00:00.000000,2023-06-03T00:00:00.000000,30,92235.00,per Annum,89022.57,6322.28,8548.07,103892.92000000001,94.6236559139785
DEPARTMENT OF TRANSPORTATION,BOB- Associate Project Manager II,84018,123141,2025-02-14T00:00:00.000000,2025-03-16T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
BRONX DISTRICT ATTORNEY,Cold Case Investigator,67000,67000,2025-03-25T00:00:00.000000,2025-04-24T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
NYC HOUSING AUTHORITY,ASSISTANT RESIDENT BUILDING SUPT (HA),54272,83117,2025-08-07T00:00:00.000000,2025-08-27T00:00:00.000000,20,60106.00,per Annum,58175.74,4.09,3019.50,61199.329999999994,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Public Health Clinics",44003,50603,2024-11-21T00:00:00.000000,2025-11-21T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation (BFSCS)",51460,51460,2025-04-30T00:00:00.000000,2026-04-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Public Health Clinics",53074,61035,2025-05-08T00:00:00.000000,2026-05-08T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Civil Engineer Intern - Design and Construction,56181,68034,2025-06-08T00:00:00.000000,2025-07-08T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF TRANSPORTATION,BOB-Civil Engineering Intern,56181,68034,2024-06-05T00:00:00.000000,2024-07-05T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,"Project Manager, Standards",64242,73878,2025-05-19T00:00:00.000000,2025-06-18T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,VENDOR PERFORMANCE EVALUATION COORDINATOR,64137,73758,2024-02-22T00:00:00.000000,2024-03-23T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,64242,96395,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Solution Architect, Bureau of IT Application and Platform Engineering",100000,128010,2024-11-26T00:00:00.000000,2025-11-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF SANITATION,College Aide,17,21.4,2025-06-24T00:00:00.000000,2025-07-24T00:00:00.000000,30,522.32,per Day,150800.86,287.01,8680.53,159768.4,88.88888888888889
OFFICE OF THE COMPTROLLER,"Claim Specialist, Level II - Property Damage (3 positions)",59359,68263,2025-06-17T00:00:00.000000,2025-09-15T00:00:00.000000,90,209050.00,per Annum,207928.04,0.00,0.00,207928.04,100.0
HRA/DEPT OF SOCIAL SERVICES,SENIOR CRPU SPECIALIST,66430,99694,2024-04-30T00:00:00.000000,2024-05-30T00:00:00.000000,30,48246.00,per Annum,49638.15,0.00,3279.90,52918.05,91.56626506024097
DEPT OF ENVIRONMENT PROTECTION,Environmental Engineering Intern,56181,64608,2024-06-03T00:00:00.000000,2024-07-03T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
TECHNOLOGY & INNOVATION,Deputy Commissioner,120122,270000,2024-12-23T00:00:00.000000,2025-01-22T00:00:00.000000,30,168826.00,per Annum,173125.69,0.00,3000.00,176125.69,100.0
BRONX DISTRICT ATTORNEY,"Special Victims Division - Trial Preparation Assistant, Level I",42092,42092,2025-07-26T00:00:00.000000,2025-08-25T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
HRA/DEPT OF SOCIAL SERVICES,CONTRACT AGENCY FINANCE SPECIALIST,59715,68672,2025-04-16T00:00:00.000000,2025-05-16T00:00:00.000000,30,66182.00,per Annum,63909.06,0.00,675.29,64584.35,100.0
BRONX DISTRICT ATTORNEY,Assistant District Attorney -  Bureau Chief,207500,220500,2025-03-14T00:00:00.000000,2025-09-10T00:00:00.000000,180,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,"Assistant Commissioner, OD&HR",175000,208826,2023-04-11T00:00:00.000000,2023-05-11T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Administrative Procurement Analyst, Office of Chief Information Officer",73419,95000,2025-06-20T00:00:00.000000,2026-06-20T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Gardener 1,50448,72606,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Inspector, Bureau of Veterinary and Pest Control Services",51460,51460,2025-02-10T00:00:00.000000,2026-02-10T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Billing Coordinator,62868,97593,2025-07-02T00:00:00.000000,2025-08-01T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,MACHINIST,37.28,43.4,2023-01-30T00:00:00.000000,2023-03-01T00:00:00.000000,30,390.72,per Day,107954.40,13032.02,4073.92,125060.34,100.0
DEPT OF ENVIRONMENT PROTECTION,DIRECTOR OF LARGE CONTRACT PAYMENTS,73419,150000,2025-06-25T00:00:00.000000,2025-07-25T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation (BFSCS)",51460,51460,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Senior Project Coordinator â Public Realm,80091,116999,2024-03-21T00:00:00.000000,2024-04-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"BPHC Advisory Group Coordinator, Bureau of Public Health Clinics",60889,70022,2024-10-22T00:00:00.000000,2025-10-22T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,QUALITY ASSURANCE ANALYST,64137,73758,2024-11-27T00:00:00.000000,2024-12-27T00:00:00.000000,30,78501.00,per Annum,83094.37,45491.61,5782.90,134368.88,92.10526315789474
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,67757,98128,2023-02-27T00:00:00.000000,2023-03-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant, Office of the Commissioner",84981,84981,2025-04-07T00:00:00.000000,2026-04-07T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,SENIOR SYSTEMS ANALYST,70611,81203,2024-01-05T00:00:00.000000,2024-02-04T00:00:00.000000,30,78501.00,per Annum,83094.37,45491.61,5782.90,134368.88,92.10526315789474
DEPT OF HEALTH/MENTAL HYGIENE,"NYCHA Survey Team Supervisor, Bureau of Veterinary and Pest Control Services",78250,78250,2025-07-09T00:00:00.000000,2026-07-09T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,"ASSISTANT DEPUTY COMMISSIONER, FINANCE, CONTRACTS, & SUPPORT SERVICES",100000,153107,2024-02-06T00:00:00.000000,2024-03-07T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,.Net Developer,86196,99125,2025-06-02T00:00:00.000000,2025-09-30T00:00:00.000000,120,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Data & Evaluation Associate, Relay,  Bureau of Alcohol and Drug Use Prevention, Care and Treatment",84981,97728,2024-10-01T00:00:00.000000,2025-10-01T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HUMAN RIGHTS COMMISSION,Youth Outreach Specialist,55567,63902,2025-04-30T00:00:00.000000,2025-05-30T00:00:00.000000,30,197991.00,per Annum,165841.16,0.00,3000.00,168841.16,85.18518518518519
DEPT OF ENVIRONMENT PROTECTION,Policy Analyst,68262,87426,2024-09-24T00:00:00.000000,2024-10-24T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Partnership & Collaboration Specialist, Bureau of Tuberculosis Control",72190,72190,2025-05-02T00:00:00.000000,2026-05-02T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Preventive Medicine Residency Program Coordinator, Bureau of Equitable Health Systems",87743,100904,2025-06-30T00:00:00.000000,2026-06-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,MS4 Program Analyst,74536,90188,2025-07-10T00:00:00.000000,2025-08-09T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HOUSING PRESERVATION & DVLPMNT,Managing Attorney,106404,106404,2025-07-31T00:00:00.000000,2025-08-20T00:00:00.000000,20,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPARTMENT OF TRANSPORTATION,BOB-Fiscal Officer,61206,92731,2024-03-02T00:00:00.000000,2024-04-01T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Personnel Coordinator, Office of External Affairs Administration",70310,84237,2025-04-30T00:00:00.000000,2026-04-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Interpreter,60280,60280,2025-04-11T00:00:00.000000,2025-10-10T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPARTMENT OF TRANSPORTATION,Program Coordinator,71255,104894,2024-01-19T00:00:00.000000,2024-02-18T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HRA/DEPT OF SOCIAL SERVICES,ASSET MANAGEMENT SUPPORT ASSOCIATE,59715,68672,2025-03-17T00:00:00.000000,2025-04-16T00:00:00.000000,30,72499.00,per Annum,66926.09,0.00,4134.08,71060.17,90.47619047619048
HRA/DEPT OF SOCIAL SERVICES,SYSTEM PROGRAMER,96086,123796,2024-10-02T00:00:00.000000,2024-11-01T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
TAXI & LIMOUSINE COMMISSION,Technical Support College Aide,17,17,2025-06-26T00:00:00.000000,2025-07-26T00:00:00.000000,30,25.78,per Hour,39514.28,37.54,1850.72,41402.54,87.09677419354838
ADMIN FOR CHILDREN'S SVCS,Child Protective Manager,58700,102226,2022-06-30T00:00:00.000000,2022-07-30T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPARTMENT OF TRANSPORTATION,Community Coordinator,60889,94521,2024-10-29T00:00:00.000000,2024-11-28T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF TRANSPORTATION,BOB- Civil Engineer I,76262,110444,2025-01-22T00:00:00.000000,2025-02-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,Junior Public Health Nurse (Part-Time),45.56,45.56,2025-05-08T00:00:00.000000,2026-05-08T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,64242,96395,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
HRA/DEPT OF SOCIAL SERVICES,CASE MANAGEMENT SUPERVISOR,58377,67134,2025-03-26T00:00:00.000000,2025-04-25T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
NYC HOUSING AUTHORITY,Project Manager,121000,133000,2025-08-07T00:00:00.000000,2025-08-27T00:00:00.000000,20,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF HEALTH/MENTAL HYGIENE,"Child Care Inspector, Bureau of Childcare",53132,53132,2025-07-11T00:00:00.000000,2026-01-07T00:00:00.000000,180,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,EHS Program Liaison,64242,96395,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,DIRECTOR OF REASONABLE ACCOMMODATIONS AND SUBSTANCE USE PLAN,83718,129139,2025-07-08T00:00:00.000000,2025-08-07T00:00:00.000000,30,114173.00,per Annum,113860.24,0.00,2187.20,116047.44,94.73684210526315
DEPARTMENT OF CORRECTION,"Deputy Commissioner, Administration",200000,225000,2024-05-20T00:00:00.000000,2024-06-19T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
HOUSING PRESERVATION & DVLPMNT,Cloud Administrator for the Division of HPD TECH,145000,155000,2025-01-31T00:00:00.000000,2025-10-03T00:00:00.000000,245,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF ENVIRONMENT PROTECTION,Chief of Repairs and Maintenance - Admin Engineer,78721,197348,2024-04-15T00:00:00.000000,2024-05-15T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,ELIGIBILITY WORKER,46555,53538,2025-08-07T00:00:00.000000,2025-09-06T00:00:00.000000,30,64188.00,per Annum,2212.70,0.00,1195.13,3407.83,100.0
DEPT OF ENVIRONMENT PROTECTION,GIS Editor,63105,72571,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,Emergency Intervention Services/Domestic Violence Services,79798,91768,2023-12-28T00:00:00.000000,2024-01-27T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF PARKS & RECREATION,Aquatic Specialist,44524,51210.81,2025-01-31T00:00:00.000000,2025-03-02T00:00:00.000000,30,65.29,per Hour,109701.07,1913.26,13055.24,124669.57,89.65517241379311
HRA/DEPT OF SOCIAL SERVICES,GROUP SUPERVISOR (MEDICAID),74781,85998,2025-03-24T00:00:00.000000,2025-04-23T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Analyst, Bureau of Tuberculosis Control",74536,74536,2025-08-01T00:00:00.000000,2025-08-14T00:00:00.000000,13,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health",86368,86368,2023-07-13T00:00:00.000000,2023-08-12T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,81083,216270,2024-07-30T00:00:00.000000,2024-08-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
OFF OF PAYROLL ADMINISTRATION,Fiduciary Accountant,56520,76798,2025-05-16T00:00:00.000000,2025-06-15T00:00:00.000000,30,64764.00,per Annum,66806.30,2097.29,3508.04,72411.62999999999,85.29411764705883
BRONX DISTRICT ATTORNEY,Intelligence Analyst,70000,70000,2025-07-23T00:00:00.000000,2025-08-22T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
BRONX DISTRICT ATTORNEY,Intelligence Analyst,70000,70000,2025-07-23T00:00:00.000000,2025-08-22T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPARTMENT OF CORRECTION,Timekeeping Analyst,25.4532,29.2715,2025-07-25T00:00:00.000000,2025-08-24T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPARTMENT OF TRANSPORTATION,BOB-Mechanical Engineer II,90667,125964,2025-03-31T00:00:00.000000,2025-04-30T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF TRANSPORTATION,Billing Coordinator,62868,97593,2025-07-02T00:00:00.000000,2025-08-01T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Budget Analyst,56520,76798,2025-02-04T00:00:00.000000,2025-03-06T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Procurement Analyst,50972,82730,2023-07-14T00:00:00.000000,2023-08-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Network Engineer Intern, Bureau of IT Infrastructure and Support Services",18.54,23.32,2024-09-24T00:00:00.000000,2025-09-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT FOR THE AGING,"Director, Aging Connect Operations",100000,114000,2025-07-09T00:00:00.000000,2026-01-05T00:00:00.000000,180,202221.00,per Annum,206686.37,0.00,3000.00,209686.37,85.71428571428571
DEPT OF HEALTH/MENTAL HYGIENE,"Executive Director for Program, Policy & Strategy, Family and Child Health Administration",115131,158000,2025-03-31T00:00:00.000000,2026-03-31T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,BUSINESS PROGRAM ANALYST,77158,88732,2024-05-21T00:00:00.000000,2024-06-20T00:00:00.000000,30,78501.00,per Annum,83094.37,45491.61,5782.90,134368.88,92.10526315789474
HRA/DEPT OF SOCIAL SERVICES,ACCOUNT SPECIALIST SUPERVISOR,54269,76638,2025-06-06T00:00:00.000000,2025-07-06T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
OFFICE OF THE MAYOR,Video Producer,62868,75000,2025-08-01T00:00:00.000000,2025-08-31T00:00:00.000000,30,258750.00,per Annum,257361.22,0.00,0.00,257361.22,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Manager, Strategic Initiatives",62868,91467,2025-06-18T00:00:00.000000,2025-10-16T00:00:00.000000,120,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,64242,96395,2025-06-02T00:00:00.000000,2025-07-02T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPARTMENT OF PROBATION,Computer Specialist,103765,134622,2025-03-25T00:00:00.000000,2025-04-24T00:00:00.000000,30,55493.00,per Annum,55195.08,20561.26,2199.10,77955.44,85.18518518518519
DEPT OF HEALTH/MENTAL HYGIENE,"BPHC Advisory Group Coordinator, Bureau of Public Health Clinics",60889,70022,2024-10-22T00:00:00.000000,2025-10-22T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Assistant Chemical Engineer,57078,85646,2022-10-05T00:00:00.000000,2022-11-04T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,62370,93587,2024-04-30T00:00:00.000000,2024-05-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPARTMENT OF CORRECTION,Agency Attorney Level 1-4,71163,107635,2024-11-15T00:00:00.000000,2024-12-15T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Analytics Manager, Bureau of School Health",95070,110000,2025-03-13T00:00:00.000000,2026-03-13T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Practitioner, Bureau of Public Health Clinics",44.647,66.52,2024-10-29T00:00:00.000000,2025-10-29T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Distribution Area Engineer,100000,146260,2023-08-24T00:00:00.000000,2023-09-23T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
